index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
1031,\src\com\eteks\sweethome3d\swing\ImportedFurnitureWizardStepsPanel.AutoRepeatButton.java,AutoRepeatButton,86,1,0,0,0,FALSE,FALSE,3,FALSE,FALSE,2,0,10,11,TRUE,FALSE,TRUE,TRUE,FALSE,private,0,0,0,FALSE,Interfacer
1032,\src\com\eteks\sweethome3d\swing\ImportedFurnitureWizardStepsPanel.IconPreviewComponent.java,IconPreviewComponent,57,2,2,1,1,FALSE,FALSE,3,FALSE,FALSE,1,1,5,1,TRUE,FALSE,TRUE,TRUE,FALSE,private,1,0,1,FALSE,Interfacer
1033,\src\com\eteks\sweethome3d\swing\ImportedFurnitureWizardStepsPanel.java,ImportedFurnitureWizardStepsPanel,1396,48,20,7,2,FALSE,FALSE,5,FALSE,FALSE,42,29,76,189,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,19,0,FALSE,Interfacer
1034,\src\com\eteks\sweethome3d\swing\ImportedFurnitureWizardStepsPanel.RotationPreviewComponent.java,RotationPreviewComponent,252,10,5,1,1,FALSE,FALSE,3,FALSE,FALSE,4,6,19,15,TRUE,FALSE,TRUE,TRUE,FALSE,private,2,2,1,FALSE,Interfacer
1035,\src\com\eteks\sweethome3d\swing\ImportedTextureWizardStepsPanel.java,ImportedTextureWizardStepsPanel,837,25,14,3,0,FALSE,FALSE,5,FALSE,FALSE,36,21,66,114,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,13,0,FALSE,Interfacer
1036,\src\com\eteks\sweethome3d\swing\InterruptedPrinterException.java,InterruptedPrinterException,39,0,0,0,0,FALSE,FALSE,3,FALSE,FALSE,0,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
1037,\src\com\eteks\sweethome3d\swing\JPEGImagesToVideo.java,JPEGImagesToVideo,195,5,2,0,0,FALSE,FALSE,7,FALSE,FALSE,9,7,26,26,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,1,0,FALSE,Service Provider
1038,\src\com\eteks\sweethome3d\swing\LabelPanel.java,LabelPanel,386,17,5,1,0,FALSE,FALSE,2,FALSE,FALSE,13,8,26,55,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,4,0,FALSE,Interfacer
1039,\src\com\eteks\sweethome3d\swing\LevelPanel.java,LevelPanel,493,15,7,3,0,FALSE,FALSE,2,FALSE,FALSE,27,9,35,66,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,6,0,FALSE,Interfacer
1040,\src\com\eteks\sweethome3d\swing\LevelPanel.LevelsTableModel.java,LevelsTableModel,71,2,4,0,4,FALSE,FALSE,3,FALSE,FALSE,2,3,5,9,TRUE,FALSE,TRUE,TRUE,FALSE,private,4,0,0,FALSE,Structurer
1041,\src\com\eteks\sweethome3d\swing\LocatedTransferHandler.java,LocatedTransferHandler,192,3,7,0,2,FALSE,FALSE,3,TRUE,FALSE,10,11,17,17,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,0,6,TRUE,Service Provider
1042,\src\com\eteks\sweethome3d\swing\ModelMaterialsComponent.java,ModelMaterialsComponent,55,0,0,0,0,FALSE,FALSE,3,FALSE,FALSE,1,0,8,2,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
1043,\src\com\eteks\sweethome3d\swing\ModelMaterialsComponent.ModelMaterialsPanel.java,ModelMaterialsPanel,738,15,5,1,0,FALSE,FALSE,3,FALSE,FALSE,42,4,57,138,TRUE,FALSE,TRUE,TRUE,FALSE,private,1,4,0,FALSE,Interfacer
1044,\src\com\eteks\sweethome3d\swing\ModelPreviewComponent.java,ModelPreviewComponent,856,13,36,12,9,FALSE,FALSE,3,FALSE,FALSE,46,41,71,98,TRUE,FALSE,FALSE,TRUE,FALSE,public,8,14,12,FALSE,Interfacer
1045,\src\com\eteks\sweethome3d\swing\ModelPreviewComponent.JCanvas3DWithNotifiedPaint.java,JCanvas3DWithNotifiedPaint,38,1,1,0,0,FALSE,FALSE,6,FALSE,FALSE,0,1,3,1,TRUE,FALSE,TRUE,TRUE,FALSE,private,1,0,0,FALSE,Service Provider
1046,\src\com\eteks\sweethome3d\swing\MultipleLevelsPlanPanel.java,MultipleLevelsPlanPanel,625,7,47,13,8,FALSE,FALSE,4,FALSE,FALSE,19,73,62,83,TRUE,FALSE,FALSE,TRUE,FALSE,public,39,7,1,FALSE,Interfacer
1047,\src\com\eteks\sweethome3d\swing\MultipleLevelsPlanPanel.LanguageChangeListener.java,LanguageChangeListener,46,1,1,0,0,FALSE,FALSE,3,TRUE,FALSE,1,1,4,3,TRUE,FALSE,TRUE,TRUE,FALSE,private,1,0,0,FALSE,Service Provider
